type,category,confidenceLevel,explanation,quantity
product,Primary,1.0,"The text refers to a sample of palm stearin, which is a primary product derived from the oil palm fruit.",100
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is used as an input material for palm oil processing.,1
service,Maintenance/Repair Service,0.8,"The text mentions the inspection of palm oil and its byproducts, which falls under the category of maintenance or repair service.",1
service,Transport service,0.95,The text mentions 'Discarging Survey of CPO' which indicates that the product is related to transportation and logistics services.,1
service,Transport service,0.9,Discarging survey of CPO refers to the process of unloading the cargo from a ship.,1
product,Primary,1.0,Kalibrassi sounding tape is a tool used in the processing of palm oil.,1
service,Transport service,0.9,Loading Survey of CPKO 1999887 MT and CPO 2503809 MT at Dumai on 1516102021 is a transport service,0
product,Primary,1.0,The text refers to the loading of crude palm oil (CPO) which is a primary product derived from the oil palm fruit.,2999998
service,Transport service,0.8,Loading Survey of CPO 3000301 MT at Tayan on 1920102021 is a transportation service for palm oil products.,1
product,Primary,1.0,"The text refers to a product related to palm oil processing, specifically a washing machine for CPO (Crude Palm Oil) ",1
service,Transport service,0.8,Pengiriman Kecambah Sawit is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,1
product,Primary,1.0,Oil palm fruit is a primary product.,25200
product,Primary,1.0,Oil palm fruit is a primary product.,1081230
product,Primary,1.0,Oil palm fruit is a primary product.,1190024
product,Primary,1.0,Oil palm fruit is a primary product.,4907412
product,Primary,1.0,Oil palm fruit is a primary product.,5276210
product,Primary,1.0,Oil palm fruit is a primary product.,5701628
product,Primary,0.8,Palm kernel is a primary part of the oil palm fruit.,12217767
product,Primary,1.0,Oil palm fruit is a primary product.,13269963
product,Primary,1.0,Oil palm fruit is a primary product.,13269963
product,Primary,1.0,Palm oil fruit is a primary product of the palm oil industry.,13609592
product,Primary,1.0,Oil palm fruit is a primary product.,7184896
product,Primary,1.0,Oil palm fruit is a primary product.,7637226
product,Primary,0.9,Oil palm fruit is a primary product.,8113557
product,Primary,1.0,Oil palm fruit is a primary product.,8628950
product,Primary,0.95,Oil palm fruit is a primary product.,8861121
product,Primary,1.0,Oil palm fruit is a primary product.,1458681
product,Primary,1.0,Oil palm fruit is a primary product.,1700094
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,1990593
product,Primary,1.0,Oil palm fruit is a primary product.,2367230
product,Primary,0.95,Pabrik Kelapa Sawit (PKS) is a palm oil mill that produces crude palm oil (CPO) through the processing of fresh fruit bunches (FFB). The design and build gas holder service provided by Termin 4 is an asset used in the production process.,7617
product,Primary,1.0,Uang Muka II Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,50000.0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Painting is a product that directly contributes to the processing of palm oil.,18
product,Primary,1.0,Mast Key Gembock Truk Cpo is a product of palm oil fruit.,1
service,Maintenance/Repair Service,0.9,"The text mentions 'Analisa Minyak Sawit Oil Loss SCPR', which suggests that the product is related to oil loss processing service.",1
product,Primary,1.0,Mast Key Gembock Truk Cpo is a product of palm oil fruit.,1
product,Primary,1.0,Oil palm fruit,20
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Minyak Kelapa Sawit CPO is a product made from the oil of the oil palm fruit.,0
product,Primary,1.0,Palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit and is used for processing palm oil.,100
product,Primary,1.0,VITAMIN A PALMITATE is a primary part of the oil palm fruit.,17
service,Maintenance/Repair Service,0.9,Lebih Kirim Toleransi atas SPJB No  088XXCPOXXX20XX is a maintenance and repair service for palm oil processing equipment.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Tanaman Kelapa Sawit is a type of oil palm fruit which is the primary product of palm oil processing.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Lubang tanam is a term used to describe the land area where oil palm trees are grown.,6
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,1.0,"The text refers to the transportation of palm oil products, which falls under the category of transport services.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Oil palm fruit is a primary product of the oil palm plantation.,0
service,Transport service,1.0,Pelunasan is a transport service for palm oil products,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,0.8,ONGKOS ANGKUT PALM KERNEL is a transportation service for palm kernel.,1
service,Transport service,1.0,"The text refers to the payment of freight for palm oil transported from Kendawangan to Lampung, indicating a service related to transportation.",1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,100
service,Transport service,0.8,"The text mentions 'TBS PER 1630 JUN 2021 TT 2012', which suggests that it is related to transportation services.",1
product,Primary,1.0,CPO Crude Palm Oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a payment service for palm oil contracts.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,"The text refers to a maintenance and repair service for palm kernel, which is a product of the oil palm fruit.",1
product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a service related to the processing of palm oil.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5000.0
service,Maintenance/Repair Service,0.8,The text refers to the payment of a maintenance fee for a PKPalm kernel contract.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Tanaman Kelapa Sawit Batch 202201R121 PO4200159439 is a palm oil fruit which is a primary product.,1
service,Transport service,0.8,BIAYA HANDLING CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,CPOCrude Palm Oil Kontrak No117 is a transportation contract for the delivery of crude palm oil.,1
product,Primary,1.0,Oil palm fruit is a primary product.,257
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,4910
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,4964
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,5000
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,5000
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,500
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Minyak Sawit is a type of palm oil product.,0
product,Primary,1.0,Penjuanal 5690 KG CPO is a product of palm oil fruit.,5690
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5
product,Primary,1.0,Penjuanal 7100 KG CPO is a product of palm oil fruit.,7100
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used for processing palm oil.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product derived from the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used in the processing of palm oil.,0
